time,realization,lat,lon,experimentVersionNumber,tp
2019-08-01 06:00:00,0,51.0,18.0,0001,0.0024261475
2019-09-01 06:00:00,0,51.0,18.0,0001,0.0020275116
2019-10-01 06:00:00,0,51.0,18.0,0001,0.0012836456
2019-11-01 06:00:00,0,51.0,18.0,0001,0.0009860992
2019-12-01 06:00:00,0,51.0,18.0,0001,0.0012264252
2020-01-01 06:00:00,0,51.0,18.0,0001,0.0009689331
2020-02-01 06:00:00,0,51.0,18.0,0001,0.0030918121
2020-03-01 06:00:00,0,51.0,18.0,0001,0.0012226105
2020-04-01 06:00:00,0,51.0,18.0,0001,0.000289917
2020-05-01 06:00:00,0,51.0,18.0,0001,0.0030727386
2020-06-01 06:00:00,0,51.0,18.0,0001,0.0056877136
2020-07-01 06:00:00,0,51.0,18.0,0001,0.0013618469
2020-08-01 06:00:00,0,51.0,18.0,0001,0.003112793
2020-09-01 06:00:00,0,51.0,18.0,0001,0.0029659271
2020-10-01 06:00:00,0,51.0,18.0,0001,0.0036811829
2020-11-01 06:00:00,0,51.0,18.0,0001,0.0012283325
2020-12-01 06:00:00,0,51.0,18.0,0001,0.0009880066
2021-01-01 06:00:00,0,51.0,18.0,0001,0.0020008087
2021-02-01 06:00:00,0,51.0,18.0,0001,0.0014762878
2021-03-01 06:00:00,0,51.0,18.0,0001,0.0013446808
2021-04-01 06:00:00,0,51.0,18.0,0001,0.0020103455
2021-05-01 06:00:00,0,51.0,18.0,0001,0.0034065247
2021-06-01 06:00:00,0,51.0,18.0,0001,0.0016918182
2021-07-01 06:00:00,0,51.0,18.0,0001,0.0025291443
2021-08-01 06:00:00,0,51.0,18.0,0001,0.004878998
2021-09-01 06:00:00,0,51.0,18.0,0001,0.0012264252
2021-10-01 06:00:00,0,51.0,18.0,0001,0.00069236755
2021-11-01 06:00:00,0,51.0,18.0,0001,0.001789093
2021-12-01 06:00:00,0,51.0,18.0,0001,0.0015697479
